conversation_ID,floor_transfer_offset,conversation_time,t1_speaker,t2_speaker,t1_seq_initiating,t1_seq_responding,t1_seq_backchannel,t2_seq_initiating,t2_seq_responding,t2_seq_backchannel,t1_proc_clauses,t2_proc_clauses,t1_proc_frequency,t2_proc_frequency,t1_proc_concreteness,t2_proc_concreteness,t1_nonv_speaker_gaze,t1_nonv_listener_gaze,t1_nonv_pitch,t1_oth_sex,t2_oth_sex,t1_proc_speechrate,t2_proc_speechrate,t1_proc_duration,t2_proc_duration
DVA1A,-0.5559999999999832,346.372,2,1,no,no,yes,no,no,no,2,3,1832.3333333333333,466.42857142857144,1.4633333333333336,1.8604761904761904,g,g,mid,F,F,0.9420194145400813,0.8026714597988449,1.641999999999996,4.209000000000003
DVA1A,-0.10300000000000864,350.478,1,2,no,no,no,no,no,yes,3,1,466.42857142857144,1358.5,1.8604761904761904,1.365,g,g,high,F,F,0.8026714597988449,1.2533119929998269,4.209000000000003,0.6899999999999977
DVA1A,-0.5190000000000055,350.649,2,1,no,no,yes,no,no,no,1,1,1358.5,567,1.365,1.19,g-x,g,mid,F,F,1.2533119929998269,1.9272795654586896,0.6899999999999977,0.6000000000000227
DVA1A,-0.018000000000029104,351.231,1,2,no,no,no,no,no,no,1,4,567,562.8620689655172,1.19,1.965,g,x,mid,F,F,1.9272795654586896,0.7840054226380737,0.6000000000000227,10.923000000000002
DVA1A,-0.39800000000002456,361.756,2,1,no,no,no,no,no,yes,4,2,562.8620689655172,324.6666666666667,1.965,1.78,g,g,mid,F,F,0.7840054226380737,1.2606208342215095,10.923000000000002,1.9640000000000555
DVA1A,0.20899999999994634,363.72,1,2,no,no,no,no,no,yes,2,1,324.6666666666667,2702,1.78,1.53,g,g,mid,F,F,1.2606208342215095,1.2769579554427728,1.9640000000000555,0.22000000000002728
DVA1A,0.6610000000000014,364.149,2,1,no,no,yes,no,no,no,1,NA,2702,NA,1.53,NA,g,g,mid,F,F,1.2769579554427728,8.42091759365341,0.22000000000002728,0.6100000000000136
DVA1A,0.19799999999997908,365.42,1,2,no,no,no,no,no,no,NA,1,NA,440.9375,NA,1.7379999999999998,g,g,mid,F,F,8.42091759365341,0.5608103457699367,0.6100000000000136,1.1399999999999864
DVA1A,-0.23599999999999,366.522,2,1,no,no,no,no,no,no,1,NA,440.9375,NA,1.7379999999999998,NA,g,g,mid,F,F,0.5608103457699367,1.5672654415430514,1.1399999999999864,1.6299999999999955
DVA1A,-1.336999999999989,366.815,1,2,no,no,no,no,no,no,NA,NA,NA,NA,NA,NA,g,g,mid,F,F,1.5672654415430514,1.0948115354652914,1.6299999999999955,2.1100000000000136
DVA1A,0.8519999999999754,368.925,2,1,no,no,no,no,no,no,NA,1,NA,451,NA,2.47,x-g,g,mid,F,F,1.0948115354652914,0.9073782085106902,2.1100000000000136,0.7200000000000273
